pre_seg_id,post_seg_id,ei_type,pre_struc_type,post_struc_type,pair_count,pre_region,pre_type,post_region,post_type
30987440366,4128856200,1,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,pyramidal neuron
46941529946,3605265569,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
92754517866,4028123903,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
55458629203,1539047638,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
58615481226,6384755758,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,pyramidal neuron
48059863278,4126111391,2,axon,dendrite,1,Layer 4,majority axon fragment,Layer 5,pyramidal neuron
1871366711,881579396,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
92709941496,3531850525,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
71440736874,36096142042,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
90891475010,3474687797,2,axon,dendrite,1,Layer 2,majority axon fragment,Layer 2,pyramidal neuron
48565395103,48303643727,2,axon,dendrite,1,Layer 6,pure axon fragment,Layer 5,excitatory/spiny neuron with atypical tree
58799206239,5170126624,1,axon,dendrite,1,White matter,pure axon fragment,White matter,pyramidal neuron
55206936820,2233383600,2,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,pyramidal neuron
38509642618,29207418998,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,pyramidal neuron
14024071379,4401720797,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
37859195880,1524667312,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
23302131534,6384785095,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 4,pyramidal neuron
3547621043,3518491104,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
51755377733,42773558499,2,axon,soma,1,White matter,pure axon fragment,White matter,oligodendrocyte
67877538570,6213032571,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
66981329851,31534730907,1,axon,dendrite,1,Layer 6,pure axon fragment,Layer 6,interneuron
50521578115,6456138776,1,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
41819222129,33069631534,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
11875037646,2282501359,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
71469297238,35906708609,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
2396872186,1684504313,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
60056848555,32777873751,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 4,excitatory/spiny neuron with atypical tree
1419685949,779459820,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 2,pyramidal neuron
6642302477,6190211117,2,axon,dendrite,1,White matter,majority axon fragment,White matter,pyramidal neuron
93187539913,4854307497,2,axon,soma,1,Layer 5,majority axon fragment,Layer 5,unclassified neuron
55862813271,38015602699,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,oligodendrocyte
1464203861,955067750,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
45805163196,1666982509,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 3,pyramidal neuron
75924777210,67015889514,1,axon,soma,1,Layer 3,pure axon fragment,Layer 3,interneuron
66489129589,3106947392,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,spiny stellate neuron
71905033922,35833030418,1,axon,dendrite,1,Layer 3,majority axon fragment,Layer 2,pyramidal neuron
47174211095,1857715073,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 2,pyramidal neuron
68605616759,41485165512,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
83277432135,3707719580,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
37755924922,28919589274,2,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,excitatory/spiny neuron with atypical tree
60564948927,33806149770,2,axon,dendrite,1,Layer 5,pure axon fragment,White matter,pyramidal neuron
66740004044,4915996110,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
11985728180,2683635722,2,axon,dendrite,1,Layer 4,majority axon fragment,Layer 4,pyramidal neuron
65344075695,30523392286,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
54873464947,28597141231,1,axon,dendrite,1,Layer 3,majority axon fragment,Layer 3,pyramidal neuron
37536499292,28526136122,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
4243985810,3107998480,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,pyramidal neuron
40728104030,31862567681,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
